date,Price,Open,High,Low,Vol.,Change %
13-Aug-2023,"26,099.40","29,428.20","29,689.00","25,489.40",442.95K,-11.31%
6-Aug-2023,"29,428.20","29,067.90","30,168.60","28,721.00",256.33K,1.24%
30-Jul-2023,"29,068.10","29,354.20","30,025.90","28,611.00",282.53K,-0.97%
23-Jul-2023,"29,353.50","29,788.90","30,337.00","28,890.70",245.08K,-1.46%
16-Jul-2023,"29,788.90","30,291.80","30,435.00","29,621.40",253.92K,-1.66%
9-Jul-2023,"30,291.40","30,288.80","31,764.50","29,944.30",429.51K,0.01%
2-Jul-2023,"30,288.80","30,587.10","31,463.60","29,757.40",347.61K,-0.97%
25-Jun-2023,"30,586.80","30,533.60","31,275.50","29,714.50",489.67K,0.17%
18-Jun-2023,"30,533.60","26,515.00","31,395.40","26,290.60",595.01K,15.16%
11-Jun-2023,"26,515.00","25,843.30","26,767.30","24,838.00",403.42K,2.60%
4-Jun-2023,"25,844.00","27,070.90","27,410.20","25,425.60",392.44K,-4.54%
28-May-2023,"27,072.00","26,855.30","28,431.20","26,541.30",364.20K,0.80%
21-May-2023,"26,857.50","27,116.20","27,448.10","25,892.50",326.61K,-0.95%
14-May-2023,"27,116.20","26,777.40","27,651.70","26,449.80",318.29K,1.27%
7-May-2023,"26,777.50","28,857.10","29,122.00","25,853.10",501.86K,-7.21%
30-Apr-2023,"28,857.10","29,235.10","29,941.30","27,685.90",479.52K,-1.29%
23-Apr-2023,"29,234.10","27,813.80","29,995.70","27,054.30",594.98K,5.11%
16-Apr-2023,"27,813.90","30,299.20","30,545.30","27,165.70",583.96K,-8.20%
9-Apr-2023,"30,299.60","27,941.20","30,964.90","27,809.20",544.03K,8.44%
2-Apr-2023,"27,941.20","28,456.10","28,744.40","27,256.90",397.27K,-1.81%
26-Mar-2023,"28,456.10","27,474.90","29,160.40","26,611.50",684.10K,3.57%
19-Mar-2023,"27,475.60","26,914.50","28,760.30","26,668.70",1.98M,2.09%
12-Mar-2023,"26,914.10","20,465.00","27,742.20","20,294.20",4.38M,31.50%
5-Mar-2023,"20,467.50","22,347.10","22,636.70","19,591.80",2.75M,-8.41%
26-Feb-2023,"22,347.10","23,166.10","23,914.10","22,051.90",1.99M,-3.54%
19-Feb-2023,"23,166.10","24,631.30","25,236.80","22,777.40",2.61M,-5.95%
12-Feb-2023,"24,631.40","21,859.90","25,233.80","21,418.70",2.81M,12.68%
5-Feb-2023,"21,859.80","23,326.90","23,425.10","21,491.70",2.23M,-6.28%
29-Jan-2023,"23,323.80","23,023.50","24,207.20","22,560.00",2.36M,1.28%
22-Jan-2023,"23,027.90","22,775.70","23,779.00","22,323.00",2.25M,1.11%
15-Jan-2023,"22,775.70","20,956.00","23,304.50","20,448.30",2.28M,8.67%
8-Jan-2023,"20,958.20","16,943.60","21,185.60","16,913.80",2.44M,23.69%
1-Jan-2023,"16,943.60","16,537.50","17,012.30","16,499.70",1.31M,2.46%
25-Dec-2022,"16,537.40","16,835.70","16,964.00","16,360.00",1.24M,-1.78%
